confirmed,deaths,deaths_comorbid,teryt_id,date,NUTS2,region
109,0,0,t02,2020-12-28,PL51,Dolnośląskie
302,6,6,t04,2020-12-28,PL61,Kujawsko-Pomorskie
126,3,3,t06,2020-12-28,PL81,Lubelskie
49,0,0,t08,2020-12-28,PL43,Lubuskie
199,0,0,t10,2020-12-28,PL71,Łódzkie
190,1,1,t12,2020-12-28,PL21,Małopolskie
409,5,5,t14,2020-12-28,PL9,Mazowieckie
49,0,0,t16,2020-12-28,PL52,Opolskie
76,0,0,t18,2020-12-28,PL82,Podkarpackie
70,1,0,t20,2020-12-28,PL84,Podlaskie
404,2,2,t22,2020-12-28,PL63,Pomorskie
224,4,4,t24,2020-12-28,PL22,Śląskie
55,0,0,t26,2020-12-28,PL72,Świętokrzyskie
136,0,0,t28,2020-12-28,PL62,Warmińsko-Mazurskie
309,7,7,t30,2020-12-28,PL41,Wielkopolskie
282,0,0,t32,2020-12-28,PL42,Zachodniopomorskie
153,0,0,t02,2020-12-27,PL51,Dolnośląskie
326,6,6,t04,2020-12-27,PL61,Kujawsko-Pomorskie
103,7,6,t06,2020-12-27,PL81,Lubelskie
65,0,0,t08,2020-12-27,PL43,Lubuskie
199,2,1,t10,2020-12-27,PL71,Łódzkie
115,2,1,t12,2020-12-27,PL21,Małopolskie
532,8,8,t14,2020-12-27,PL9,Mazowieckie
99,1,1,t16,2020-12-27,PL52,Opolskie
68,1,0,t18,2020-12-27,PL82,Podkarpackie
93,1,1,t20,2020-12-27,PL84,Podlaskie
536,4,4,t22,2020-12-27,PL63,Pomorskie
279,3,2,t24,2020-12-27,PL22,Śląskie
51,0,0,t26,2020-12-27,PL72,Świętokrzyskie
188,1,0,t28,2020-12-27,PL62,Warmińsko-Mazurskie
387,18,18,t30,2020-12-27,PL41,Wielkopolskie
270,3,3,t32,2020-12-27,PL42,Zachodniopomorskie
219,0,0,t02,2020-12-26,PL51,Dolnośląskie
472,11,11,t04,2020-12-26,PL61,Kujawsko-Pomorskie
268,8,7,t06,2020-12-26,PL81,Lubelskie
111,0,0,t08,2020-12-26,PL43,Lubuskie
280,0,0,t10,2020-12-26,PL71,Łódzkie
169,1,1,t12,2020-12-26,PL21,Małopolskie
741,19,19,t14,2020-12-26,PL9,Mazowieckie
97,1,0,t16,2020-12-26,PL52,Opolskie
132,1,1,t18,2020-12-26,PL82,Podkarpackie
115,2,1,t20,2020-12-26,PL84,Podlaskie
487,0,0,t22,2020-12-26,PL63,Pomorskie
285,2,2,t24,2020-12-26,PL22,Śląskie
82,4,4,t26,2020-12-26,PL72,Świętokrzyskie
315,1,1,t28,2020-12-26,PL62,Warmińsko-Mazurskie
518,15,14,t30,2020-12-26,PL41,Wielkopolskie
557,4,4,t32,2020-12-26,PL42,Zachodniopomorskie
474,10,3,t02,2020-12-25,PL51,Dolnośląskie
767,27,15,t04,2020-12-25,PL61,Kujawsko-Pomorskie
357,29,25,t06,2020-12-25,PL81,Lubelskie
351,1,0,t08,2020-12-25,PL43,Lubuskie
739,10,3,t10,2020-12-25,PL71,Łódzkie
210,8,4,t12,2020-12-25,PL21,Małopolskie
1166,22,22,t14,2020-12-25,PL9,Mazowieckie
258,2,2,t16,2020-12-25,PL52,Opolskie
212,18,15,t18,2020-12-25,PL82,Podkarpackie
242,6,5,t20,2020-12-25,PL84,Podlaskie
666,10,9,t22,2020-12-25,PL63,Pomorskie
695,21,20,t24,2020-12-25,PL22,Śląskie
89,5,4,t26,2020-12-25,PL72,Świętokrzyskie
607,0,0,t28,2020-12-25,PL62,Warmińsko-Mazurskie
1045,44,23,t30,2020-12-25,PL41,Wielkopolskie
990,27,27,t32,2020-12-25,PL42,Zachodniopomorskie
742,26,12,t02,2020-12-24,PL51,Dolnośląskie
1311,39,30,t04,2020-12-24,PL61,Kujawsko-Pomorskie
598,33,28,t06,2020-12-24,PL81,Lubelskie
402,9,4,t08,2020-12-24,PL43,Lubuskie
945,51,41,t10,2020-12-24,PL71,Łódzkie
409,29,14,t12,2020-12-24,PL21,Małopolskie
1824,53,42,t14,2020-12-24,PL9,Mazowieckie
281,12,11,t16,2020-12-24,PL52,Opolskie
288,20,17,t18,2020-12-24,PL82,Podkarpackie
325,9,8,t20,2020-12-24,PL84,Podlaskie
1107,18,14,t22,2020-12-24,PL63,Pomorskie
1003,42,38,t24,2020-12-24,PL22,Śląskie
