NUTS 3 CODE,LAU CODE,LAU NAME NATIONAL,LAU NAME LATIN,CHANGE (Y/N),POPULATION,TOTAL AREA (m2),DEGURBA,DEG change compared to last year,COASTAL AREA (yes/no),COAST change compared to last year,CITY_ID,CITY_ID change compared to last year,CITY_NAME,GREATER_CITY_ID,GREATER_CITY_ID change compared to last year,GREATER_CITY_NAME,FUA_ID,FUA_ID change compared to last year,FUA_NAME
PL214,1001121200101,Bochnia,Bochnia,no,29922,29870000,2,no,no,,,,,,,,,,
PL214,1001121200102,Bochnia,Bochnia,no,19872,130870000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200103,Drwinia,Drwinia,no,6517,108330000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200104,Lipnica Murowana,Lipnica Murowana,no,5642,60300000,3,no,no,,,,,,,,,,
PL214,1001121200105,Łapanów,Łapanów,no,8139,71700000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200106,Nowy Wiśnicz,Nowy Wiśnicz,no,14021,82160000,3,no,no,,,,,,,,,,
PL214,1001121200107,Rzezawa,Rzezawa,no,11276,86350000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200108,Trzciana,Trzciana,no,5582,44090000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200109,Żegocina,Żegocina,no,5543,34890000,3,no,no,,,,,,,,,,
PL214,1001121200601,Czernichów,Czernichów,no,14587,84220000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200602,Igołomia-Wawrzeńczyce,Igołomia-Wawrzeńczyce,no,7724,62790000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200603,Iwanowice,Iwanowice,no,9135,71090000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200604,Jerzmanowice-Przeginia,Jerzmanowice-Przeginia,no,10935,68140000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200605,Kocmyrzów-Luborzyca,Kocmyrzów-Luborzyca,no,15575,80760000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200606,Krzeszowice,Krzeszowice,no,32195,139040000,2,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200607,Liszki,Liszki,no,17292,72070000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200608,Michałowice,Michałowice,no,10563,51130000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200609,Mogilany,Mogilany,no,14052,43630000,2,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200610,Skała,Skała,no,10556,74830000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200611,Skawina,Skawina,no,43496,99840000,2,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200612,Słomniki,Słomniki,no,13680,112980000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200613,Sułoszowa,Sułoszowa,no,5830,53380000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200614,Świątniki Górne,Świątniki Górne,no,10083,20350000,2,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200615,Wielka Wieś,Wielka Wieś,no,12356,48270000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200616,Zabierzów,Zabierzów,no,26504,99420000,2,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200617,Zielonki,Zielonki,no,22582,48580000,2,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200801,Charsznica,Charsznica,no,7464,78450000,3,no,no,,,,,,,,,,
PL214,1001121200802,Gołcza,Gołcza,no,6078,90020000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200803,Kozłów,Kozłów,no,4651,85750000,3,no,no,,,,,,,,,,
PL214,1001121200804,Książ Wielki,Książ Wielki,no,5121,137830000,3,no,no,,,,,,,,,,
PL214,1001121200805,Miechów,Miechów,no,19737,148360000,2,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200806,Racławice,Racławice,no,2519,59110000,3,no,no,,,,,,,,,,
PL214,1001121200807,Słaboszów,Słaboszów,no,3567,76770000,3,no,no,,,,,,,,,,
PL214,1001121200901,Dobczyce,Dobczyce,no,15272,66390000,2,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200902,Lubień,Lubień,no,10060,75100000,3,no,no,,,,,,,,,,
PL214,1001121200903,Myślenice,Myślenice,no,44189,153520000,2,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200904,Pcim,Pcim,no,11082,88960000,3,no,no,,,,,,,,,,
PL214,1001121200905,Raciechowice,Raciechowice,no,6395,61150000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200906,Siepraw,Siepraw,no,8953,31850000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200907,Sułkowice,Sułkowice,no,14916,60380000,2,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121200908,Tokarnia,Tokarnia,no,8771,68630000,3,no,no,,,,,,,,,,
PL214,1001121200909,Wiśniowa,Wiśniowa,no,7390,67100000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121201401,Koniusza,Koniusza,no,9020,88520000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121201402,Koszyce,Koszyce,no,5508,66060000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121201403,Nowe Brzesko,Nowe Brzesko,no,5752,54420000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121201404,Pałecznica,Pałecznica,no,3583,47880000,3,no,no,,,,,,,,,,
PL214,1001121201405,Proszowice,Proszowice,no,16243,100020000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121201406,Radziemice,Radziemice,no,3417,57970000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121201901,Biskupice,Biskupice,no,10330,41140000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121201902,Gdów,Gdów,no,18188,108720000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121201903,Kłaj,Kłaj,no,10691,64980000,3,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121201904,Niepołomice,Niepołomice,no,28455,96270000,2,no,no,,,,,,,,PL003L2,no,Kraków
PL214,1001121201905,Wieliczka,Wieliczka,no,59414,99670000,2,no,no,,,,,,,,PL003L2,no,Kraków
PL213,1001121216101,Kraków,Kraków,no,771069,326850000,1,no,no,,PL003C1,no,Kraków,,,,PL003L2,no,Kraków
PL218,1001121220501,Gorlice,Gorlice,no,27597,23530000,2,no,no,,,,,,,,,,
PL218,1001121220502,Biecz,Biecz,no,16858,98250000,3,no,no,,,,,,,,,,
PL218,1001121220503,Bobowa,Bobowa,no,9778,49770000,3,no,no,,,,,,,,,,
PL218,1001121220504,Gorlice,Gorlice,no,17277,102850000,3,no,no,,,,,,,,,,
PL218,1001121220505,Lipinki,Lipinki,no,6806,66460000,3,no,no,,,,,,,,,,
PL218,1001121220506,Łużna,Łużna,no,8514,56270000,3,no,no,,,,,,,,,,
PL218,1001121220507,Moszczenica,Moszczenica,no,4922,37620000,3,no,no,,,,,,,,,,
PL218,1001121220508,Ropa,Ropa,no,5498,49110000,3,no,no,,,,,,,,,,
PL218,1001121220509,Sękowa,Sękowa,no,5017,194800000,3,no,no,,,,,,,,,,
PL218,1001121220510,Uście Gorlickie,Uście Gorlickie,no,6837,287800000,3,no,no,,,,,,,,,,
PL218,1001121220701,Limanowa,Limanowa,no,15158,18700000,2,no,no,,,,,,,,,,
PL218,1001121220702,Mszana Dolna,Mszana Dolna,no,7948,27100000,2,no,no,,,,,,,,,,
PL218,1001121220703,Dobra,Dobra,no,9967,109910000,3,no,no,,,,,,,,,,
PL218,1001121220704,Jodłownik,Jodłownik,no,8667,72190000,3,no,no,,,,,,,,,,
PL218,1001121220705,Kamienica,Kamienica,no,7861,95180000,3,no,no,,,,,,,,,,
PL218,1001121220706,Laskowa,Laskowa,no,8149,72480000,3,no,no,,,,,,,,,,
PL218,1001121220707,Limanowa,Limanowa,no,25466,152230000,3,no,no,,,,,,,,,,
PL218,1001121220708,Łukowica,Łukowica,no,10044,69650000,3,no,no,,,,,,,,,,
PL218,1001121220709,Mszana Dolna,Mszana Dolna,no,17643,170020000,3,no,no,,,,,,,,,,
PL218,1001121220710,Niedźwiedź,Niedźwiedź,no,7344,74220000,3,no,no,,,,,,,,,,
PL218,1001121220711,Słopnice,Słopnice,no,6720,56850000,3,no,no,,,,,,,,,,
PL218,1001121220712,Tymbark,Tymbark,no,6556,32700000,2,no,no,,,,,,,,,,
PL218,1001121221001,Grybów,Grybów,no,6038,16950000,2,no,no,,,,,,,,,,
PL218,1001121221002,Chełmiec,Chełmiec,no,28572,111970000,2,no,no,,,,,,,,PL020L2,no,Nowy Sącz
PL218,1001121221003,Gródek nad Dunajcem,Gródek nad Dunajcem,no,9239,88190000,3,no,no,,,,,,,,PL020L2,no,Nowy Sącz
PL218,1001121221004,Grybów,Grybów,no,25456,153150000,3,no,no,,,,,,,,PL020L2,no,Nowy Sącz
PL218,1001121221005,Kamionka Wielka,Kamionka Wielka,no,10363,64980000,3,no,no,,,,,,,,PL020L2,no,Nowy Sącz
PL218,1001121221006,Korzenna,Korzenna,no,14500,106950000,3,no,no,,,,,,,,PL020L2,no,Nowy Sącz
PL218,1001121221007,Krynica-Zdrój,Krynica-Zdrój,no,16777,145130000,2,no,no,,,,,,,,,,
PL218,1001121221008,Łabowa,Łabowa,no,6032,119150000,3,no,no,,,,,,,,PL020L2,no,Nowy Sącz
PL218,1001121221009,Łącko,Łącko,no,16499,132950000,3,no,no,,,,,,,,PL020L2,no,Nowy Sącz
PL218,1001121221010,Łososina Dolna,Łososina Dolna,no,11049,84760000,3,no,no,,,,,,,,PL020L2,no,Nowy Sącz
PL218,1001121221011,Muszyna,Muszyna,no,11574,141440000,2,no,no,,,,,,,,,,
PL218,1001121221012,Nawojowa,Nawojowa,no,8703,50210000,2,no,no,,,,,,,,PL020L2,no,Nowy Sącz
PL218,1001121221013,Piwniczna-Zdrój,Piwniczna-Zdrój,no,10650,126460000,3,no,no,,,,,,,,PL020L2,no,Nowy Sącz
PL218,1001121221014,Podegrodzie,Podegrodzie,no,13170,64730000,3,no,no,,,,,,,,PL020L2,no,Nowy Sącz
PL218,1001121221015,Rytro,Rytro,no,3807,41900000,3,no,no,,,,,,,,PL020L2,no,Nowy Sącz
PL218,1001121221016,Stary Sącz,Stary Sącz,no,23747,100880000,2,no,no,,,,,,,,PL020L2,no,Nowy Sącz
PL218,1001121226201,Nowy Sącz,Nowy Sącz,no,83896,57580000,1,no,no,,PL020C1,no,Nowy Sącz,,,,PL020L2,no,Nowy Sącz
PL21A,1001121230301,Alwernia,Alwernia,no,12640,74170000,3,no,no,,,,,,,,,,
PL21A,1001121230302,Babice,Babice,no,9146,54040000,3,no,no,,,,,,,,,,
PL21A,1001121230303,Chrzanów,Chrzanów,no,47169,79440000,2,no,no,,,,,,,,,,
PL21A,1001121230304,Libiąż,Libiąż,no,22433,57070000,2,no,no,,,,,,,,PL010L2,no,Katowice
PL21A,1001121230305,Trzebinia,Trzebinia,no,33997,105400000,2,no,no,,,,,,,,,,
