Year,Sex,Total,1,2,3,4,5,6,7,8,9,10,11,12
2018,M,213647,19388,18810,20854,17712,16760,15980,17053,16550,16208,17751,17154,19427
2018,F,200553,18317,18161,20767,16819,15551,14656,15556,15176,14990,16398,15700,18462
2017,M,207671,21600,18342,17711,16605,16701,15630,15996,16184,16187,17818,16898,17999
2017,F,195181,22020,18894,17093,15307,15137,14394,14717,14656,14585,16473,15449,16456
2016,M,202150,18166,17028,18309,16511,16762,15559,15918,15780,15612,17501,17017,17987
2016,F,185859,17158,16047,16952,15163,15192,14074,14465,14504,14022,15779,15595,16908
2015,M,204469,17867,17453,19439,17615,16733,15771,16278,16532,15321,17267,16591,17602
2015,F,190452,16621,17504,19232,16598,15126,14272,14611,15400,14061,15776,15378,15873
2014,M,195791,17171,15636,17535,16264,16166,15009,16096,15414,15683,16715,16366,17736
2014,F,180676,15805,14954,16477,15048,14793,13418,14723,13966,13979,15470,15461,16582
2013,M,201696,20637,16470,18376,17182,16195,15596,15972,15418,15716,16589,15942,17603
2013,F,185616,19527,16057,17342,16573,14710,14017,13968,13936,13825,15436,14351,15874
2012,M,202094,17383,17025,17357,17208,16597,15876,16706,15873,15403,17045,16558,19063
2012,F,182694,15944,15898,16142,15855,14716,14018,14758,14115,13635,15411,14642,17560
2011,M,198178,17873,16681,18058,16408,16592,15260,15589,15933,15310,17083,16312,17079
2011,F,177323,16735,15158,16639,14889,14563,13295,13668,13782,13351,15092,14555,15596
2010,M,199833,17667,15058,16805,16256,16441,16196,16906,15955,16438,17621,16364,18126
2010,F,178645,15737,14305,15449,14451,14708,14365,14939,13825,14527,15567,14442,16330
